event_id,volume_id,source_story_order,title,narrated_source,history_start_year,history_end_year,history_display,history_status,realm_id,realm_time_status,personal_time_status,first_safe_chapter,status,lasting_consequence

EV-001,01,1,The Mother as possibility,Codex: Book of the Mother,,,Unestablished,unknown,R-OMNOID,unestablished,unestablished-until-viewpoint-and-interval-adopted,V01-C01,editorial-proposal,The frame has not yet produced a shared calendar.

EV-002,01,2,The First Flame experiences loneliness,V2: Core Mythology,,,Unestablished,unknown,R-OMNOID,unestablished,unestablished-until-viewpoint-and-interval-adopted,V01-C03,editorial-proposal,"A need for company becomes a creative motive, not automatic justification."

EV-003,01,3,Creation as relation,Codex: Mother and Father,,,Unestablished,unknown,R-OMNOID,unestablished,unestablished-until-viewpoint-and-interval-adopted,V01-C05,editorial-proposal,Neither source nor recipient owns every being that follows.

EV-004,01,4,The divine children emerge,V2: Firstborn,,,Unestablished,unknown,R-OMNOID,unestablished,unestablished-until-viewpoint-and-interval-adopted,V01-C07,editorial-proposal,Kinship begins before agreed limits and institutions.

EV-005,01,5,The claim to precedence,Codex: first wound,,,Unestablished,unknown,R-OMNOID,unestablished,unestablished-until-viewpoint-and-interval-adopted,V01-C09,editorial-proposal,Authority begins to cite age as entitlement.

EV-006,01,6,Separation interrupts relation,Codex: Mother / Torus,,,Unestablished,unknown,R-OMNOID,unestablished,unestablished-until-viewpoint-and-interval-adopted,V01-C11,editorial-proposal,Loss produces a debt of repair that later radiance cannot cancel.

EV-007,02,7,Naming in the Garden,Genesis 2; Codex: Adam,,,Unestablished,unknown,R-EDEN,unestablished,unestablished-until-viewpoint-and-interval-adopted,V02-C01,editorial-proposal,Naming becomes useful and dangerous when confused with ownership.

EV-008,02,8,Lilith refuses subordination,Codex: Lilith; later Lilith tradition requires source note,,,Unestablished,unknown,R-EDEN,unestablished,unestablished-until-viewpoint-and-interval-adopted,V02-C03,editorial-proposal,Departure preserves refusal while imposing material costs.

EV-009,02,9,Eve enters an inherited arrangement,Genesis 2; two Codex Eve variants,,,Unestablished,unknown,R-EDEN,unestablished,unestablished-until-viewpoint-and-interval-adopted,V02-C05,editorial-proposal,Created conditions are not equivalent to chosen conditions.

EV-010,02,10,The fruit and disputed knowledge,Genesis 3; Codex: Knowing Child,,,Unestablished,unknown,R-EDEN,unestablished,unestablished-until-viewpoint-and-interval-adopted,V02-C07,editorial-proposal,Knowledge creates responsibility without guaranteeing wisdom.

EV-011,02,11,Departure and changed embodiment,Genesis 3,,,Unestablished,unknown,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V02-C09,editorial-proposal,World and personal consequences continue after the gate closes.

EV-012,02,12,Abel’s death and Cain’s mark,Genesis 4,,,Unestablished,unknown,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V02-C11,editorial-proposal,Protection from retaliation is not cancellation of harm.

EV-013,03,13,The Watchers cross a boundary,1 Enoch 6–16; Genesis 6 comparison,,,Unestablished,unknown,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V03-C01,editorial-proposal,"Instruction, desire and power are judged by what they do to others."

EV-014,03,14,Enoch receives conflicting measures,1 Enoch: journeys and luminaries,,,Unestablished,unknown,R-SIGHT,unestablished,unestablished-until-viewpoint-and-interval-adopted,V03-C03,editorial-proposal,A traveller’s report does not synchronize all clocks.

EV-015,03,15,Warning and preparation,Genesis 6,,,Unestablished,unknown,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V03-C05,editorial-proposal,Knowledge is unevenly distributed before catastrophe.

EV-016,03,16,The flood and its witnesses,Genesis 7–8; flood parallels kept separate,,,Unestablished,unknown,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V03-C07,editorial-proposal,Survival accounts cannot recover every lost perspective.

EV-017,03,17,Covenant after devastation,Genesis 9,,,Unestablished,unknown,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V03-C09,editorial-proposal,"An oath after disaster leaves grief, hunger and accountability."

EV-018,03,18,Babel and scattering,Genesis 11,,,Unestablished,unknown,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V03-C11,editorial-proposal,"Shared language, coercive unity and migration remain distinguishable."

EV-019,04,19,Abram’s departure,Genesis 12,,,Unestablished,unknown,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V04-C01,editorial-proposal,A promised future changes the lives of people who did not receive the promise.

EV-020,04,20,Hagar is sent away and seen,Genesis 16; 21 as distinct later departure,,,Unestablished,unknown,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V04-C03,editorial-proposal,Household survival does not justify making someone expendable.

EV-021,04,21,Hospitality and the destroyed cities,Genesis 18–19,,,Unestablished,unknown,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V04-C05,editorial-proposal,The fate of bystanders complicates every claim of collective guilt.

EV-022,04,22,The binding and its aftermath,Genesis 22; reception variants separate,,,Unestablished,unknown,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V04-C07,editorial-proposal,A halted act can leave lasting fear and broken trust.

EV-023,04,23,Jacob wrestles with inheritance,Genesis 25–36,,,Unestablished,unknown,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V04-C09,editorial-proposal,A changed name does not pay every old debt.

EV-024,04,24,"Joseph, grain and reconciliation",Genesis 37–50,,,Unestablished,unknown,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V04-C11,editorial-proposal,Power over food can rescue and subordinate at the same time.

EV-025,05,25,An empire organizes bondage,Exodus 1–2,,,Unestablished,unknown,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V05-C01,editorial-proposal,"Labour, households and official language conceal unequal vulnerability."

EV-026,05,26,A name at the burning bush,Exodus 3–4,,,Unestablished,unknown,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V05-C03,editorial-proposal,A voice’s authority and its referent are recorded separately.

EV-027,05,27,Plagues and contested warning,Exodus 7–12,,,Unestablished,unknown,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V05-C05,editorial-proposal,The narrative retains civilian suffering and competing testimony.

EV-028,05,28,Departure and the crossing,Exodus 12–15,,,Unestablished,unknown,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V05-C07,editorial-proposal,A disputed route is never drawn as a surveyed itinerary.

EV-029,05,29,"Law, food and worship",Exodus 16–34; Leviticus,,,Unestablished,unknown,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V05-C09,editorial-proposal,Daily provision and legal authority bind different obligations.

EV-030,05,30,Revolt and the generation’s end,Numbers; Deuteronomy 34,,,Unestablished,unknown,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V05-C11,editorial-proposal,Liberation does not guarantee that the new community remains just.

EV-031,06,31,Entry and contested land,Joshua,,,Unestablished,unknown,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V06-C01,editorial-proposal,Conquest traditions are narrated alongside the losses of inhabitants.

EV-032,06,32,"Judges, cycles and local survival",Judges,,,Unestablished,unknown,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V06-C03,editorial-proposal,Repeated violence changes the ground; the cycle is not a reset.

EV-033,06,33,Ruth and the work of belonging,Ruth,,,Unestablished,unknown,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V06-C05,editorial-proposal,Kinship decisions arise inside economic precarity.

EV-034,06,34,The demand for a king,1 Samuel 8–15,,,Unestablished,unknown,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V06-C07,editorial-proposal,A collective demand gives rulers power without ending accountability.

EV-035,06,35,"David, Bathsheba and royal harm",2 Samuel 11–12,,,Unestablished,unknown,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V06-C09,editorial-proposal,Public achievement cannot redeem an exploitation by accounting trick.

EV-036,06,36,Solomon builds and extracts,1 Kings 1–11,,,Unestablished,unknown,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V06-C11,editorial-proposal,"Temple, wealth and labour are held in the same frame."

EV-037,07,37,A kingdom divides,1 Kings 12,,,Unestablished,unknown,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V07-C01,editorial-proposal,Inherited extraction creates lasting political fracture.

EV-038,07,38,Prophets contest wealth and worship,Amos; Hosea; Isaiah; prophetic corpus,,,Unestablished,unknown,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V07-C03,editorial-proposal,Prophetic testimony remains situated and sometimes contested.

EV-039,07,39,Samaria falls,2 Kings 17; institutional chronology,-722,-721,722/721 BCE,source-discrepancy,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V07-C05,editorial-proposal,"Displacement changes language, land and household continuity."

EV-040,07,40,Jerusalem is destroyed and people displaced,2 Kings 25; Jeremiah; Lamentations,-587,-586,587/586 BCE,source-discrepancy,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V07-C07,editorial-proposal,"587/586 BCE is retained as a source discrepancy, not averaged."

EV-041,07,41,Lament and vision in exile,Ezekiel; exile traditions; Daniel narrative setting,,,Unestablished,unknown,R-REFLECTION,unestablished,unestablished-until-viewpoint-and-interval-adopted,V07-C09,editorial-proposal,The time represented in a book is not its composition date.

EV-042,07,42,Babylon passes to Persian rule,Institutional historical anchor; Ezra context,-539,-539,539 BCE,historical-anchor,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V07-C11,editorial-proposal,A changed imperial policy opens possibilities without instant restoration.

EV-043,08,43,Return is permitted and uneven,Ezra 1–3; historical note at Ezra 3:1–2,-538,-520,538 return tradition; 520 rebuilding resumption,distinct-events-not-one-duration,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V08-C01,editorial-proposal,Departure from exile and rebuilding have separate dates and participants.

